Year,State,County,State FIPS Code,County FIPS Code,Combined FIPS Code,Birth Rate,Lower Confidence Limit,Upper Confidence Limit
2014,Alabama,Chambers,1,17,1017,51.109887,44.852783,57.847073
2015,Alabama,Chambers,1,17,1017,46.32099,39.95752,53.262529
2003,Alabama,Cherokee,1,19,1019,59.820768,51.333129,69.077657
2004,Alabama,Cherokee,1,19,1019,57.809981,50.305842,65.913628
2005,Alabama,Cherokee,1,19,1019,55.831098,48.946287,63.239068
2006,Alabama,Cherokee,1,19,1019,56.525612,49.771341,63.781764
2007,Alabama,Cherokee,1,19,1019,57.076749,50.367911,64.280806
2008,Alabama,Cherokee,1,19,1019,56.508315,49.887028,63.621564
2009,Alabama,Cherokee,1,19,1019,54.81,48.354392,61.748819
2010,Alabama,Cherokee,1,19,1019,50.992726,44.876663,57.576561
2011,Alabama,Cherokee,1,19,1019,48.353704,42.382953,54.79495
2012,Alabama,Cherokee,1,19,1019,46.22961,40.288127,52.656905
2013,Alabama,Cherokee,1,19,1019,41.734712,36.072596,47.889906
2014,Alabama,Cherokee,1,19,1019,38.481519,32.883886,44.612999
2015,Alabama,Cherokee,1,19,1019,35.438104,29.800513,41.691222
2003,Alabama,Chilton,1,21,1021,55.950099,49.102421,63.319737
2004,Alabama,Chilton,1,21,1021,54.891945,48.89705,61.282031
2005,Alabama,Chilton,1,21,1021,54.728453,49.14252,60.664832
2006,Alabama,Chilton,1,21,1021,58.646109,52.910432,64.732189
2007,Alabama,Chilton,1,21,1021,62.021497,56.102972,68.295632
2008,Alabama,Chilton,1,21,1021,62.492835,56.581853,68.756254
2009,Alabama,Chilton,1,21,1021,60.520704,54.755419,66.633815
2010,Alabama,Chilton,1,21,1021,56.361299,50.889171,62.172821
2011,Alabama,Chilton,1,21,1021,54.541249,49.127999,60.29851
2012,Alabama,Chilton,1,21,1021,53.583946,48.100636,59.422438
2013,Alabama,Chilton,1,21,1021,50.468087,45.031386,56.271053
2014,Alabama,Chilton,1,21,1021,47.096575,41.60124,52.991644
2015,Alabama,Chilton,1,21,1021,43.101091,37.434376,49.254541
2003,Alabama,Choctaw,1,23,1023,53.253545,44.575892,62.861234
2004,Alabama,Choctaw,1,23,1023,51.469244,43.659092,60.022435
2005,Alabama,Choctaw,1,23,1023,49.571493,42.394839,57.390961
2006,Alabama,Choctaw,1,23,1023,50.31426,43.230783,58.015092
2007,Alabama,Choctaw,1,23,1023,50.626461,43.563517,58.305012
2008,Alabama,Choctaw,1,23,1023,48.939714,42.068561,56.419152
2009,Alabama,Choctaw,1,23,1023,45.777996,39.215185,52.941284
2010,Alabama,Choctaw,1,23,1023,41.321315,35.205475,48.023295
2011,Alabama,Choctaw,1,23,1023,37.71976,31.923943,44.097517
2012,Alabama,Choctaw,1,23,1023,35.30372,29.643425,41.562348
2013,Alabama,Choctaw,1,23,1023,31.996619,26.600635,38.004287
2014,Alabama,Choctaw,1,23,1023,29.311602,24.075524,35.196564
2015,Alabama,Choctaw,1,23,1023,26.750691,21.647829,32.559767
2003,Alabama,Clarke,1,25,1025,49.665898,42.765612,57.182695
2004,Alabama,Clarke,1,25,1025,47.243781,41.255744,53.70344
2005,Alabama,Clarke,1,25,1025,44.976687,39.570514,50.787763
2006,Alabama,Clarke,1,25,1025,46.213428,40.843143,51.976801
2007,Alabama,Clarke,1,25,1025,47.516723,42.095381,53.331383
2008,Alabama,Clarke,1,25,1025,46.377386,41.095698,52.044551
2009,Alabama,Clarke,1,25,1025,45.883873,40.62324,51.533302
2010,Alabama,Clarke,1,25,1025,42.847248,37.837898,48.236021
2011,Alabama,Clarke,1,25,1025,40.852317,35.949663,46.134684
2012,Alabama,Clarke,1,25,1025,39.599158,34.66835,44.922978
2013,Alabama,Clarke,1,25,1025,37.135615,32.266029,42.414888
2014,Alabama,Clarke,1,25,1025,35.732549,30.703951,41.223275
2015,Alabama,Clarke,1,25,1025,33.31253,28.149103,39.024298
2003,Alabama,Clay,1,27,1027,54.575923,45.629153,64.490184
2004,Alabama,Clay,1,27,1027,53.471613,45.322396,62.404235
2005,Alabama,Clay,1,27,1027,52.854774,45.201376,61.199056
2006,Alabama,Clay,1,27,1027,55.161842,47.466538,63.523941
2007,Alabama,Clay,1,27,1027,56.127414,48.453244,64.453696
2008,Alabama,Clay,1,27,1027,55.251127,47.72639,63.415727
2009,Alabama,Clay,1,27,1027,53.281361,45.952232,61.244228
2010,Alabama,Clay,1,27,1027,49.300637,42.352572,56.871412
2011,Alabama,Clay,1,27,1027,46.655433,39.857879,54.089189
2012,Alabama,Clay,1,27,1027,44.763421,37.968596,52.226133
2013,Alabama,Clay,1,27,1027,40.575566,34.086427,47.748326
2014,Alabama,Clay,1,27,1027,37.05646,30.757062,44.08282
2015,Alabama,Clay,1,27,1027,34.379338,28.105858,41.46556
2003,Alabama,Cleburne,1,29,1029,66.444705,55.848984,78.143164
2004,Alabama,Cleburne,1,29,1029,64.438378,54.929921,74.829328
2005,Alabama,Cleburne,1,29,1029,60.849771,52.357418,70.079126
2006,Alabama,Cleburne,1,29,1029,61.403021,53.199653,70.282361
2007,Alabama,Cleburne,1,29,1029,62.54355,54.431808,71.3013
2008,Alabama,Cleburne,1,29,1029,61.438954,53.568344,69.9287
2009,Alabama,Cleburne,1,29,1029,59.260784,51.609836,67.522694
2010,Alabama,Cleburne,1,29,1029,54.522763,47.299974,62.344834
2011,Alabama,Cleburne,1,29,1029,50.887134,43.873444,58.515007
2012,Alabama,Cleburne,1,29,1029,48.492258,41.489278,56.144796
2013,Alabama,Cleburne,1,29,1029,42.801977,36.245101,50.017061
2014,Alabama,Cleburne,1,29,1029,38.479353,32.171702,45.484715
2015,Alabama,Cleburne,1,29,1029,34.679682,28.531733,41.596892
2003,Alabama,Coffee,1,31,1031,48.851229,42.785786,55.390804
2004,Alabama,Coffee,1,31,1031,48.768971,43.380144,54.519792
2005,Alabama,Coffee,1,31,1031,49.005763,43.921086,54.419715
2006,Alabama,Coffee,1,31,1031,50.516324,45.460307,55.893911
2007,Alabama,Coffee,1,31,1031,50.626844,45.644869,55.922809
2008,Alabama,Coffee,1,31,1031,48.911957,44.099624,54.029314
2009,Alabama,Coffee,1,31,1031,46.437625,41.810658,51.363013
2010,Alabama,Coffee,1,31,1031,40.832947,36.638247,45.308387
2011,Alabama,Coffee,1,31,1031,37.135505,33.182837,41.361519
2012,Alabama,Coffee,1,31,1031,33.354412,29.628272,37.348157
2013,Alabama,Coffee,1,31,1031,29.38019,25.880222,33.146732
2014,Alabama,Coffee,1,31,1031,26.407006,22.98924,30.111712
2015,Alabama,Coffee,1,31,1031,24.118533,20.636125,27.942363
2003,Alabama,Colbert,1,33,1033,49.579979,43.714647,55.875339
2004,Alabama,Colbert,1,33,1033,50.02395,44.767616,55.61397
2005,Alabama,Colbert,1,33,1033,49.870689,44.936179,55.109333
2006,Alabama,Colbert,1,33,1033,52.608783,47.604964,57.91306
2007,Alabama,Colbert,1,33,1033,56.200083,50.984682,61.722252
2008,Alabama,Colbert,1,33,1033,56.040246,50.868271,61.515516
2009,Alabama,Colbert,1,33,1033,55.337108,50.201595,60.776267
2010,Alabama,Colbert,1,33,1033,50.422903,45.61234,55.528571
2011,Alabama,Colbert,1,33,1033,45.072881,40.582663,49.852704
2012,Alabama,Colbert,1,33,1033,42.239419,37.832619,46.941661
2013,Alabama,Colbert,1,33,1033,37.953989,33.75709,42.44473
2014,Alabama,Colbert,1,33,1033,33.988712,29.903654,38.38447
2015,Alabama,Colbert,1,33,1033,30.716,26.561172,35.24286
2003,Alabama,Conecuh,1,35,1035,52.876121,44.171158,62.529538
2004,Alabama,Conecuh,1,35,1035,52.064064,44.094558,60.80578
2005,Alabama,Conecuh,1,35,1035,52.23816,44.659834,60.502151
2006,Alabama,Conecuh,1,35,1035,55.334886,47.621075,63.715156
2007,Alabama,Conecuh,1,35,1035,57.052105,49.273569,65.487568
2008,Alabama,Conecuh,1,35,1035,56.837268,49.129374,65.194984
2009,Alabama,Conecuh,1,35,1035,55.39051,47.811805,63.617367
2010,Alabama,Conecuh,1,35,1035,52.172653,44.860567,60.132319
2011,Alabama,Conecuh,1,35,1035,48.820613,41.721665,56.580877
2012,Alabama,Conecuh,1,35,1035,47.03254,39.904322,54.858056
2013,Alabama,Conecuh,1,35,1035,43.202125,36.294318,50.836542
2014,Alabama,Conecuh,1,35,1035,39.88732,33.098595,47.461185
2015,Alabama,Conecuh,1,35,1035,36.99642,30.23042,44.641219
2003,Alabama,Coosa,1,37,1037,51.540178,42.369728,61.791204
2004,Alabama,Coosa,1,37,1037,50.808742,42.300359,60.216788
2005,Alabama,Coosa,1,37,1037,49.789489,41.791162,58.585355
2006,Alabama,Coosa,1,37,1037,51.740284,43.672399,60.582734
2007,Alabama,Coosa,1,37,1037,52.976644,44.851687,61.867887
2008,Alabama,Coosa,1,37,1037,52.826999,44.755751,61.65847
2009,Alabama,Coosa,1,37,1037,50.921607,43.059887,59.537827
2010,Alabama,Coosa,1,37,1037,47.281896,39.809583,55.498983
2011,Alabama,Coosa,1,37,1037,44.745657,37.441063,52.814994
2012,Alabama,Coosa,1,37,1037,42.731695,35.489356,50.772669
2013,Alabama,Coosa,1,37,1037,38.950853,32.042241,46.675729
2014,Alabama,Coosa,1,37,1037,35.706129,29.03185,43.241128
2015,Alabama,Coosa,1,37,1037,32.613443,26.144441,40.01131
2003,Alabama,Covington,1,39,1039,71.017815,62.727757,79.893407
2004,Alabama,Covington,1,39,1039,70.319381,62.999127,78.089143
2005,Alabama,Covington,1,39,1039,69.350583,62.527139,76.582101
2006,Alabama,Covington,1,39,1039,71.022118,64.239745,78.204644
2007,Alabama,Covington,1,39,1039,72.186074,65.392501,79.375507
2008,Alabama,Covington,1,39,1039,71.379338,64.65902,78.492757
2009,Alabama,Covington,1,39,1039,71.332333,64.54926,78.518727
2010,Alabama,Covington,1,39,1039,66.302478,59.837043,73.165986
2011,Alabama,Covington,1,39,1039,62.546881,56.236171,69.26244
2012,Alabama,Covington,1,39,1039,59.683239,53.410027,66.371644
2013,Alabama,Covington,1,39,1039,53.109044,47.178145,59.453563
2014,Alabama,Covington,1,39,1039,48.85421,42.95803,55.193585
2015,Alabama,Covington,1,39,1039,44.53835,38.516741,51.091927
2003,Alabama,Crenshaw,1,41,1041,57.459934,48.116528,67.806632
2004,Alabama,Crenshaw,1,41,1041,56.865813,48.290809,66.259413
2005,Alabama,Crenshaw,1,41,1041,55.868829,47.895219,64.551215
2006,Alabama,Crenshaw,1,41,1041,57.599904,49.698012,66.172561
2007,Alabama,Crenshaw,1,41,1041,58.266047,50.448131,66.732483
2008,Alabama,Crenshaw,1,41,1041,57.99913,50.266681,66.371142
2009,Alabama,Crenshaw,1,41,1041,56.4731,48.874473,64.710805
2010,Alabama,Crenshaw,1,41,1041,53.117352,45.80287,61.06878
2011,Alabama,Crenshaw,1,41,1041,50.16985,43.027644,57.96221
2012,Alabama,Crenshaw,1,41,1041,48.409495,41.255306,56.243101
2013,Alabama,Crenshaw,1,41,1041,44.188146,37.313428,51.761382
2014,Alabama,Crenshaw,1,41,1041,41.395202,34.543097,49.011343
2015,Alabama,Crenshaw,1,41,1041,38.318684,31.495024,45.997914
2003,Alabama,Cullman,1,43,1043,51.023012,45.669067,56.716521
2004,Alabama,Cullman,1,43,1043,51.947011,47.173828,56.982707
2005,Alabama,Cullman,1,43,1043,52.422983,47.885369,57.204494
2006,Alabama,Cullman,1,43,1043,55.724412,51.065624,60.625921
2007,Alabama,Cullman,1,43,1043,60.201359,55.301267,65.349359
2008,Alabama,Cullman,1,43,1043,60.503094,55.609043,65.643263
2009,Alabama,Cullman,1,43,1043,58.746365,53.959766,63.775879
2010,Alabama,Cullman,1,43,1043,53.969385,49.455672,58.720708
2011,Alabama,Cullman,1,43,1043,50.770282,46.395046,55.384956
2012,Alabama,Cullman,1,43,1043,50.157883,45.731197,54.832284
2013,Alabama,Cullman,1,43,1043,46.4042,42.137304,50.91782
2014,Alabama,Cullman,1,43,1043,44.492911,40.118958,49.130648
2015,Alabama,Cullman,1,43,1043,41.848795,37.161345,46.8668
2003,Alabama,Dale,1,45,1045,61.016437,54.064982,68.449466
2004,Alabama,Dale,1,45,1045,59.052929,52.996268,65.482072
2005,Alabama,Dale,1,45,1045,56.013622,50.509776,61.853168
2006,Alabama,Dale,1,45,1045,57.088552,51.593615,62.917313
2007,Alabama,Dale,1,45,1045,56.690799,51.242345,62.472218
2008,Alabama,Dale,1,45,1045,54.121364,48.853039,59.718036
2009,Alabama,Dale,1,45,1045,49.866533,44.899418,55.15242
2010,Alabama,Dale,1,45,1045,44.941113,40.335507,49.852645
2011,Alabama,Dale,1,45,1045,41.760011,37.335756,46.489156
2012,Alabama,Dale,1,45,1045,39.356632,35.034428,43.983736
2013,Alabama,Dale,1,45,1045,35.90275,31.749189,40.361812
2014,Alabama,Dale,1,45,1045,32.731751,28.648923,37.14
2015,Alabama,Dale,1,45,1045,29.500065,25.394629,33.987568
2003,Alabama,Dallas,1,47,1047,75.190553,67.620014,83.206316
2004,Alabama,Dallas,1,47,1047,75.117479,68.432647,82.149625
2005,Alabama,Dallas,1,47,1047,74.627434,68.301794,81.277257
2006,Alabama,Dallas,1,47,1047,77.889254,71.462979,84.637142
2007,Alabama,Dallas,1,47,1047,81.035907,74.432663,87.965238
2008,Alabama,Dallas,1,47,1047,78.428881,71.952762,85.231078
2009,Alabama,Dallas,1,47,1047,73.722345,67.461832,80.310098
2010,Alabama,Dallas,1,47,1047,65.578347,59.757186,71.722726
2011,Alabama,Dallas,1,47,1047,59.086421,53.574892,64.923607
2012,Alabama,Dallas,1,47,1047,54.602616,49.26652,60.267156
2013,Alabama,Dallas,1,47,1047,48.693279,43.620232,54.096404
2014,Alabama,Dallas,1,47,1047,44.528549,39.478149,49.935303
2015,Alabama,Dallas,1,47,1047,41.090192,35.816278,46.805932
2003,Alabama,De Kalb,1,49,1049,71.369229,64.241358,78.916957
2004,Alabama,De Kalb,1,49,1049,69.540732,63.398824,76.003291
2005,Alabama,De Kalb,1,49,1049,65.640929,60.092909,71.476177
2006,Alabama,De Kalb,1,49,1049,66.527876,61.06241,72.269128
2007,Alabama,De Kalb,1,49,1049,66.640538,61.241441,72.308225
2008,Alabama,De Kalb,1,49,1049,65.05186,59.781747,70.585057
2009,Alabama,De Kalb,1,49,1049,60.431548,55.453122,65.664202
2010,Alabama,De Kalb,1,49,1049,56.189796,51.446217,61.184799
2011,Alabama,De Kalb,1,49,1049,51.801561,47.271536,56.582962
2012,Alabama,De Kalb,1,49,1049,49.692247,45.198699,54.443679
2013,Alabama,De Kalb,1,49,1049,44.971078,40.684968,49.51417
2014,Alabama,De Kalb,1,49,1049,41.203763,36.957031,45.720912
2015,Alabama,De Kalb,1,49,1049,37.866381,33.420916,42.645406
2003,Alabama,Elmore,1,51,1051,48.884803,43.531461,54.600231
2004,Alabama,Elmore,1,51,1051,47.559101,42.953994,52.435456
2005,Alabama,Elmore,1,51,1051,45.953992,41.755154,50.394428
2006,Alabama,Elmore,1,51,1051,46.688321,42.578579,51.026998
2007,Alabama,Elmore,1,51,1051,47.012081,42.941694,51.305595
2008,Alabama,Elmore,1,51,1051,45.87591,41.898744,50.072154
2009,Alabama,Elmore,1,51,1051,43.387165,39.564665,47.424742
2010,Alabama,Elmore,1,51,1051,39.458636,35.8738,43.254143
2011,Alabama,Elmore,1,51,1051,37.64587,34.134213,41.370819
2012,Alabama,Elmore,1,51,1051,37.643807,34.047335,41.46236
2013,Alabama,Elmore,1,51,1051,34.45306,30.990309,38.137571
2014,Alabama,Elmore,1,51,1051,30.973093,27.592693,34.585631
2015,Alabama,Elmore,1,51,1051,27.396421,23.992008,31.077995
2003,Alabama,Escambia,1,53,1053,66.877208,58.976327,75.347746
2004,Alabama,Escambia,1,53,1053,67.136689,60.047006,74.672271
2005,Alabama,Escambia,1,53,1053,66.217823,59.631636,73.204341
2006,Alabama,Escambia,1,53,1053,69.512473,62.869792,76.548077
2007,Alabama,Escambia,1,53,1053,71.43302,64.765625,78.485427
2008,Alabama,Escambia,1,53,1053,72.149175,65.458603,79.224295
2009,Alabama,Escambia,1,53,1053,71.338464,64.650278,78.417777
2010,Alabama,Escambia,1,53,1053,66.542754,60.113297,73.364613
2011,Alabama,Escambia,1,53,1053,60.901756,54.764768,67.433201
2012,Alabama,Escambia,1,53,1053,56.465116,50.508061,62.818677
2013,Alabama,Escambia,1,53,1053,50.791609,45.095614,56.887392
2014,Alabama,Escambia,1,53,1053,46.622202,40.949767,52.7283
2015,Alabama,Escambia,1,53,1053,42.616685,36.818866,48.934069
2003,Alabama,Etowah,1,55,1055,59.379418,53.921688,65.130298
2004,Alabama,Etowah,1,55,1055,57.759129,53.076034,62.668172
2005,Alabama,Etowah,1,55,1055,56.203917,51.814393,60.804012
2006,Alabama,Etowah,1,55,1055,58.752457,54.266943,63.448755
2007,Alabama,Etowah,1,55,1055,59.085139,54.609162,63.769393
2008,Alabama,Etowah,1,55,1055,57.774061,53.387652,62.365137
2009,Alabama,Etowah,1,55,1055,55.450061,51.173999,59.930177
2010,Alabama,Etowah,1,55,1055,51.175536,47.13145,55.419438
2011,Alabama,Etowah,1,55,1055,48.197789,44.280429,52.316171
2012,Alabama,Etowah,1,55,1055,47.123261,43.208413,51.24322
2013,Alabama,Etowah,1,55,1055,44.018014,40.210167,48.033469
2014,Alabama,Etowah,1,55,1055,41.189295,37.369027,45.226473
2015,Alabama,Etowah,1,55,1055,38.444545,34.340569,42.822302
2003,Alabama,Fayette,1,57,1057,56.806619,48.186228,66.273944
2004,Alabama,Fayette,1,57,1057,55.030458,47.30638,63.431063
2005,Alabama,Fayette,1,57,1057,53.090621,45.992715,60.777605
2006,Alabama,Fayette,1,57,1057,54.744886,47.644871,62.417077
2007,Alabama,Fayette,1,57,1057,55.96691,48.818919,63.683633
2008,Alabama,Fayette,1,57,1057,54.658606,47.687443,62.185236
2009,Alabama,Fayette,1,57,1057,52.808312,45.979855,60.192173
2010,Alabama,Fayette,1,57,1057,49.638392,43.042502,56.791502
2011,Alabama,Fayette,1,57,1057,46.8512,40.392257,53.881486
2012,Alabama,Fayette,1,57,1057,45.063053,38.569799,52.161521
2013,Alabama,Fayette,1,57,1057,40.686726,34.485676,47.510037
2014,Alabama,Fayette,1,57,1057,36.990171,30.96909,43.67476
2015,Alabama,Fayette,1,57,1057,34.036429,28.052059,40.76562
2003,Alabama,Franklin,1,59,1059,67.20752,58.736574,76.339178
2004,Alabama,Franklin,1,59,1059,66.68185,59.136228,74.737981
2005,Alabama,Franklin,1,59,1059,66.680861,59.587308,74.235294
2006,Alabama,Franklin,1,59,1059,69.25666,62.178276,76.78326
2007,Alabama,Franklin,1,59,1059,69.60594,62.640982,77.005545
2008,Alabama,Franklin,1,59,1059,68.492737,61.684881,75.724039
2009,Alabama,Franklin,1,59,1059,65.487666,58.897586,72.496187
2010,Alabama,Franklin,1,59,1059,59.878623,53.692176,66.471298
2011,Alabama,Franklin,1,59,1059,53.877782,48.090906,60.059775
2012,Alabama,Franklin,1,59,1059,50.893916,45.173885,57.019712
2013,Alabama,Franklin,1,59,1059,46.473741,40.920311,52.444498
2014,Alabama,Franklin,1,59,1059,43.183663,37.591286,49.237724
2015,Alabama,Franklin,1,59,1059,40.097209,34.319097,46.433033
2003,Alabama,Geneva,1,61,1061,53.283175,45.908063,61.310753
2004,Alabama,Geneva,1,61,1061,52.813976,46.166122,59.978104
2005,Alabama,Geneva,1,61,1061,51.879851,45.726553,58.482546
2006,Alabama,Geneva,1,61,1061,54.621625,48.385021,61.301961
2007,Alabama,Geneva,1,61,1061,58.104606,51.624493,65.039037
